StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,HasReviews,RatingForAnalysis
ablh,Famous Belgian Waffles - Shaw Center Mall,Pancakes & Waffles,5.0,46,Mandaluyong City,True,5.0
abnc,CoCo Fresh Tea & Juice - SM Mall of Asia,Milk Tea,5.0,4008,Pasay City,True,5.0
ac4t,15coffee PH - Diliman,Coffee,0.0,0,Quezon City,False,
ac5f,Red Lotus by Modern Shang - BGC,Asian,0.0,0,Taguig City,False,
acbt,K-Egg Spark Place - Quezon City,Korean,4.9,13,Quezon City,True,4.9
acea,Pan De Manila - Jaboneros,Bread,5.0,79,Manila,True,5.0
aced,RBX Rice in a Box - Puregold Makati,Fast Food,5.0,144,Makati City,True,5.0
ache,Kenny Rogers Roasters - Muntinlupa,Chicken,5.0,143,Muntinlupa City,True,5.0
acil,GRIFONI'S - Alabang Town Center,Pizza,0.0,0,Muntinlupa City,False,
acjo,Daily Lemon - Fuente Osmeña Circle,Fruit Shake,0.0,0,Cebu City,False,
acnq,Bowlsome Healthy Bowls - Sampaloc,Rice Bowl,5.0,99,Manila,True,5.0
acrw,Mang Tomas Ganado Express by Cloudeats - Makati,Sisig,0.0,0,Makati City,False,
acua,Moonleaf Tea Shop - Xavier San Juan,Beverages,0.0,0,San Juan,False,
ad13,Jollybear - Marfori,Fried Chicken,1.7,27,Davao City Davao Del Sur,True,1.7
ad80,The Plant-Based Project - Malingap Street,Unknown,5.0,124,Quezon City,True,5.0
adah,Mango Magic - NGI Market,Beverages,5.0,56,Marikina,True,5.0
adau,Cafe Libro,Coffee,0.0,0,Davao City Davao Del Sur,False,
adfn,Johnn Lemon - Robinsons Cybergate Davao,Beverages,5.0,191,Davao City Davao Del Sur,True,5.0
adnm,Dreamerscorner PH,Filipino,0.0,0,Quezon City,False,
adxf,Victorino's Restaurant - Scout Rallos,Filipino,5.0,61,Quezon City,True,5.0
ae0h,Deliziosa PH - Sampaloc,Coffee,4.9,28,Manila,True,4.9
ae27,The Aristocrat Restaurant - Quezon Memorial Circle,Filipino,5.0,504,Quezon City,True,5.0
ae3b,Momo Egg Drop - Shell Malolos,Sandwiches,0.0,0,Malolos Bulacan,False,
ae4t,Timplang Pinoy: Filipino Eats - Kapitolyo,Filipino,4.8,64,Pasig City,True,4.8
ae5l,Four30 Gastropub - Tomas Morato Avenue,Sisig,0.0,0,Quezon City,False,
ae61,Wings & Chops - UN Square Mall,Chicken Wings,4.8,14,Manila,True,4.8
aeg0,Ong's Maki Restaurant - Antipolo Street,Chinese,0.0,0,Manila,False,
aeg4,TaraDito Snack Bar,American,5.0,27,Marikina,True,5.0
aegg,MPC Pigar Pigar - Galvan Street,Filipino,5.0,1361,Dagupan Pangasinan,True,5.0
aek5,Momo Korean Egg Drop - MOA,Korean,0.0,0,Pasay City,False,
aem3,Single Origin – Capitol Commons,Pasta,0.0,0,Pasig City,False,
aepy,Bo's Coffee - Classica Tower,Coffee,5.0,2332,Makati City,True,5.0
aeq9,Tapsi ni Papsi - Lark Street,Silog,0.0,0,Marikina,False,
aetj,Tagaytay Bulalo Specials - Roosevelt Avenue,Soups,5.0,230,Quezon City,True,5.0
aetu,Rita's Pancit Ng Taga Malabon - Robinsons Galleria,Noodles,0.0,0,Quezon City,False,
aezx,Masa Madre Bakehouse - 11th Avenue,Filipino,0.0,0,Taguig City,False,
af08,Taho Story - GH Mall,Filipino,0.0,0,San Juan,False,
af2m,Handsome Chicken,Chicken,0.0,0,Makati City,False,
af7x,Choi Garden - Gateway Mall 2,Chinese,0.0,0,Quezon City,False,
afbt,Manna Korean Restaurant - Sm Lanang,Korean,4.9,114,Davao City Davao Del Sur,True,4.9
afe6,Sulit Shawarma! - Makati,Shawarma,4.8,589,Makati City,True,4.8
afl8,Bheng's Homemade -Purok 6 Santisima Trinidad,Korean,4.8,23,Malolos Bulacan,True,4.8
afnk,Soy & Bean - Taft Avenue,Healthy,4.9,129,Manila,True,4.9
afqt,Why Chicken - Marikina - Bayan-Bayanan Avenue,Biryani,5.0,140,Marikina,True,5.0
afrz,Hong Kong style Noodles and Dimsum - Puregold Nangka,Asian,0.0,0,Marikina,False,
afw4,Little Ice Age - Lacson Avenue,Filipino,0.0,0,Manila,False,
afx4,Daily by Bo's Coffee - Marcelo Koronadal,Coffee,5.0,305,Koronadal South Cotabato,True,5.0
afxq,Streetfood Ta Bai! - Rosedale Place,Asian,4.8,447,Cebu City,True,4.8
afxs,Ristorante Bigoli - SM City Southmall,Pasta,5.0,49,Muntinlupa City,True,5.0
ag1z,All Wings - Alabang,Chicken Wings,0.0,0,Muntinlupa City,False,
ag27,Mang Biryani - Acacia Street,Biryani,5.0,15,Makati City,True,5.0
ag5i,Mark's Pepper Meal - Sugbo Mercado IT Park,Rice Bowl,5.0,50,Cebu City,True,5.0
agai,Popeyes Chicken - UP Town Center,Chicken,4.9,1592,Quezon City,True,4.9
agg8,Binalot - Market! Market!,Filipino,5.0,486,Taguig City,True,5.0
agj7,Popeyes Chicken - Market! Market!,Chicken,5.0,3705,Taguig City,True,5.0
agju,Blessed Bhiestro - Marikina Heights,Italian,5.0,339,Marikina,True,5.0
agmj,Pinoy Food Taste - Matina Aplaya,Filipino,4.9,478,Davao City Davao Del Sur,True,4.9
agmq,ChizMozza - Festival Mall Alabang,American,4.9,16,Muntinlupa City,True,4.9
agpg,Winnia Indian Restaurant - Mango Avenue,Curry,4.8,44,Cebu City,True,4.8
agrt,Everyday Ulam- Quezon City,Filipino,0.0,0,Quezon City,False,
agse,Sisig Hooray - Robinsons Place Manila,Sisig,4.2,156,Manila,True,4.2
ah1v,Happy Days Cafe - Diversion Road,Snacks,0.0,0,Davao City Davao Del Sur,False,
ah1w,Saad's Kitchenette - Mercato de Mactan,Indian,0.0,0,Lapu-Lapu City Cebu,False,
ah4r,Yoshinoya - Ever Commonwealth,Asian,4.8,34,Quezon City,True,4.8
ah76,Lucciola Kitchen & Bar - 94 Avisha Center,Western,5.0,142,Marikina,True,5.0
ah9y,"K Street Food, Silog and Milktea - Pardo Tambayan",Korean,4.9,539,Cebu City,True,4.9
ahc3,Kabute Corner - Veterans Village,Pasta,0.0,0,Quezon City,False,
ahhe,Original Bakery - Ayala Malls Cloverleaf,Snacks,0.0,0,Quezon City,False,
ahjv,Tiger Sugar - SM Fairview,Milk Tea,4.9,60,Quezon City,True,4.9
ahl4,House of Sinangag - Midtown Subdivision,Filipino,4.7,88,Marikina,True,4.7
ahsh,Forkfully - Tapuac,Burgers,4.5,14,Dagupan Pangasinan,True,4.5
ai1e,Hybrid Coffee - Humay-Humay Road,Coffee,5.0,2312,Lapu-Lapu City Cebu,True,5.0
ai1t,Pong Cafe,Desserts,0.0,0,Pasay City,False,
aid6,Mango Royal Milkshake - San Joaquin,Fruit Shake,5.0,685,Pasig City,True,5.0
aigv,Flaky Co - SM North EDSA,Bread,5.0,14,Quezon City,True,5.0
aihz,Starbucks - SM Muntinlupa,Coffee,5.0,130,Muntinlupa City,True,5.0
aikd,Ko-Tea - North Fairview,Milk Tea,0.0,0,Quezon City,False,
aiq4,Koomi - Market! Market!,Beverages,4.9,42,Taguig City,True,4.9
aiqe,Wing Express - Urbano Velasco Avenue,Chicken Wings,5.0,64,Pasig City,True,5.0
aixz,Bashh - Matina Aplaya,Coffee,5.0,394,Davao City Davao Del Sur,True,5.0
aj0t,Dylan Gourmet Cafe - SM North Edsa,Pasta,0.0,0,Quezon City,False,
aj21,Tropical Hut - Buendia,Burgers,5.0,4083,Makati City,True,5.0
aj68,Roxsie's Sinugba - Nagkaisang Nayon,Filipino,0.0,0,Quezon City,False,
aj8g,Cusina by Albergus - ATC,Snacks,0.0,0,Muntinlupa City,False,
aj8l,Turks - SM MOA Terminal Main,Shawarma,0.0,0,Pasay City,False,
ajd8,Gamut Bar + Kitchen - General Lim Street,Coffee,0.0,0,Cebu City,False,
ajdc,Island Samgyupsal - BELEN ROAD,Korean,5.0,128,Davao City Davao Del Sur,True,5.0
ajdg,Heavenly Desserts by Chef Jeng - Ayala Malls The 30th,Cakes,5.0,58,Pasig City,True,5.0
ajkq,Mr Pugo - D Veloso,Filipino,5.0,679,Ormoc Leyte,True,5.0
ajow,Biryani Express - San Rafael Street,Biryani,4.9,42,Manila,True,4.9
ajp0,239 coffee + dessert,Filipino,0.0,0,Quezon City,False,
ajqt,Burgstea - Lakandula Street,Burgers,4.2,11,Manila,True,4.2
ajtk,Reyna Fried Chicken - Quezon Avenue,Chicken,3.6,43,Quezon City,True,3.6
ajum,Humble Bee  - Zone 4,Snacks,0.0,0,Koronadal South Cotabato,False,
ajzd,Bantayan Burrito Company - City Time Square,Filipino,5.0,259,Cebu City,True,5.0
ajzq,Drip & Dip Takoyaki Oct-Chi - Anda,Takoyaki,4.8,84,Davao City Davao Del Sur,True,4.8
ajzy,Flower Ranch Cafe - Shaw Boulevard,Beverages,0.0,0,Mandaluyong City,False,
ak43,Red Lotus by Modern Shang - Shangri-La Plaza,Asian,0.0,0,Mandaluyong City,False,
ak4k,King Chef - Makati,Chinese,0.0,0,Makati City,False,
ak5p,P. Donuts - Gaisano Mall,Cakes,0.0,0,Davao City Davao Del Sur,False,
ak89,E&E's Takuyaki - One Pavillion Mall,Takoyaki,5.0,444,Cebu City,True,5.0
akc7,Fruitas - NCCC VP Mall,Fruit Shake,0.0,0,Davao City Davao Del Sur,False,
akqs,The Green Menu - Kapitolyo,Healthy,5.0,335,Pasig City,True,5.0
akwj,Modern Table (Capitol Commons Pasig),Filipino,0.0,0,Pasig City,False,
alb0,Macao Imperial Tea - Ayala Center Cebu,Beverages,5.0,863,Cebu City,True,5.0
alfl,Dumbo Coffee,Beverages,0.0,0,Muntinlupa City,False,
alk1,Taste of Punjab Indian Restaurant - Dagupan Pangasinan,Indian,4.6,11,Dagupan Pangasinan,True,4.6
allk,Wildflour Cafe + Bakery - Greenbelt,American,4.8,169,Makati City,True,4.8
alqw,Sabai Sabai a Thai Kitchen - Fuente,Filipino,4.7,20,Cebu City,True,4.7
alva,Khao Khai Thai Chicken House - SM Manila,Thai,5.0,526,Manila,True,5.0
alzx,Hongkong Style Fried Noodles & Dimsum - Arnaiz,Noodles,5.0,29,Pasay City,True,5.0
am0n,Ethan King's Food House - Honorio Lopez Boulevard,Chicken,4.9,73,Manila,True,4.9
am40,MANGO LOVE PH - CAPITOL HILLS,Desserts,0.0,0,Quezon City,False,
am53,Panda Express - Robinsons Place Manila,Snacks,5.0,1074,Manila,True,5.0
am77,Keffir - UNO Cinquenta Maginhawa,Beverages,5.0,20,Quezon City,True,5.0
am7t,Cabalen Plus - Glorietta 2,Ulam,4.8,75,Makati City,True,4.8
ameb,Kian's Brew Café - Mabini Street,Coffee,5.0,35,Koronadal South Cotabato,True,5.0
amis,"Genger's Bread house Coffee & Tea - Abuno, Pajac",Coffee,4.9,110,Lapu-Lapu City Cebu,True,4.9
amoc,Icebergs - Ust Multi Deck Carpark,Ulam,5.0,51,Manila,True,5.0
amp7,Balai Kaffa Cafe + All Day Breakfast - Sta. Ana,Coffee,5.0,151,Manila,True,5.0
amqk,Boomdogs - UN Square,American,4.8,44,Manila,True,4.8
amrm,Kape Sur - Cardinal Rosales Avenue,Coffee,5.0,23,Cebu City,True,5.0
amtc,Mangan - Glorietta 2,Ulam,4.9,253,Makati City,True,4.9
amzg,KAPEpito's - Juan Luna,Beverages,0.0,0,Manila,False,
